state_postal,NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Fuel_Oil,FUELHEAT_Natural_Gas,FUELHEAT_Other,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
TX,5,7,1,3301,7,17306.66,1,0,0,0,1,0,0,0,0,0,0,0
AZ,4,5,1,2899,5,23908.42,1,0,0,0,1,0,0,0,0,0,0,1
TX,2,-2,1,4380,1,3515.84,0,1,0,0,1,0,0,0,0,0,0,0
AZ,1,3,0,2468,2,5716.56,1,0,0,0,1,0,0,0,0,0,0,0
AZ,1,1,1,3852,1,6657.05,1,0,0,0,1,0,0,0,0,0,0,1
AZ,1,1,1,2546,1,10416.83,0,0,1,0,0,0,1,0,0,0,0,0
AZ,1,1,1,3046,1,9246.05,1,0,0,0,1,0,0,0,0,0,0,0
AZ,4,3,1,3810,3,30588.0,1,0,0,0,0,0,0,0,0,0,0,0
AZ,4,7,1,3825,7,8993.92,1,0,0,0,0,0,1,0,0,0,0,1
AZ,2,3,1,2938,3,10174.27,1,0,0,0,1,0,0,0,0,0,0,1
AZ,2,5,0,2903,5,10773.87,1,0,0,0,0,0,1,0,0,0,1,0
AZ,4,3,0,2087,3,18110.33,1,0,0,0,0,0,1,0,0,0,0,1
AZ,1,1,0,2970,1,3297.81,1,0,0,0,0,0,1,0,0,0,0,0
TX,2,-2,0,3493,7,4084.42,0,1,0,0,0,0,1,0,0,0,0,0
AZ,7,-2,1,3780,1,18772.35,0,1,0,0,0,0,0,0,0,0,0,0
AZ,2,3,1,3854,3,6559.05,1,0,0,0,0,0,1,0,0,0,0,1
AZ,1,1,0,2935,1,6035.08,1,0,0,0,0,0,1,0,0,0,0,0
AZ,3,14,0,3049,14,21524.29,1,0,0,0,0,0,1,0,0,0,1,0
AZ,1,1,1,3604,1,7952.43,1,0,0,0,1,0,0,0,0,0,0,1
AZ,2,2,0,4173,2,16427.9,1,0,0,0,1,0,0,0,0,0,0,1
AZ,2,3,0,2971,3,7915.64,0,0,1,0,0,0,1,0,0,0,1,0
AZ,2,3,0,4466,3,20909.62,0,0,1,0,0,0,1,0,0,0,1,0
AZ,2,1,0,2870,1,8346.65,1,0,0,0,0,0,1,0,0,0,0,1
AZ,6,4,1,3729,4,20609.59,1,0,0,0,1,0,0,0,0,0,0,1
OK,4,5,0,2108,4,11623.44,1,0,0,0,0,0,1,0,0,0,0,1
MS,2,3,0,1976,3,12504.72,1,0,0,0,0,0,1,0,0,0,0,0
NC,4,4,1,2052,4,14529.58,1,0,0,0,1,0,0,0,0,0,0,0
NC,2,3,0,2248,3,16166.28,1,0,0,0,1,0,0,0,0,0,0,1
NC,1,6,1,1529,6,13875.27,1,0,0,0,1,0,0,0,0,0,0,1
SC,2,-2,0,1568,-2,7138.24,0,1,0,0,0,0,1,0,0,0,0,0
SC,3,4,1,2568,4,13035.13,1,0,0,0,0,0,1,0,0,0,0,0
TX,5,7,0,2566,7,12071.01,1,0,0,0,1,0,0,0,0,0,0,0
OK,2,10,0,2040,10,18105.73,0,0,1,0,1,0,0,0,0,0,0,1
SC,6,-2,1,2044,-2,4243.6,0,1,0,0,1,0,0,0,0,0,0,0
OK,6,0,0,1651,5,9250.75,0,0,1,0,0,0,1,0,0,0,0,1
SC,1,-2,1,2576,-2,6327.77,0,1,0,0,1,0,0,0,0,0,0,0
