"LGTIN1TO4","LGTIN4TO8","LGTINMORE8","LGTINLED","LGTINCFL","LGTINCAN","LGTOUTANY","LGTOUTNITE","LGTOUTLED","LGTOUTCFL","LGTOUTCAN","ZLGTIN1TO4","ZLGTIN4TO8","ZLGTINCAN","ZLGTINCFL","ZLGTINLED","ZLGTINMORE8","ZLGTOUTANY","ZLGTOUTCAN","ZLGTOUTCFL","ZLGTOUTLED","ZLGTOUTNITE","DOEID","NWEIGHT"
4,1,1,0,2,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106249,10545.93696
16,4,2,0,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106740,6075.9912166
2,2,2,0,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,118446,4344.7549626
0,2,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,116843,19691.290505
2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114036,12342.021863
10,6,4,0,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112477,8662.5824256
9,2,0,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117599,8648.1402152
1,1,1,0,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110865,5576.8820588
4,4,4,0,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107566,9363.5299207
6,3,0,0,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,107913,7831.8130385
4,2,2,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,109886,15848.215748
6,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112445,6484.6160035
6,4,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118274,3880.0563472
2,2,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111056,8677.9786304
4,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107985,1147.1506143
0,3,0,0,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116044,12167.55996
2,0,0,0,2,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109400,6076.4504202
2,2,2,0,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103928,10859.614626
