"REGIONC","DIVISION","STATE_FIPS","state_postal","state_name","DOEID","NWEIGHT"
WEST,Pacific,2,AK,Alaska,115211,567.12602125
WEST,Pacific,2,AK,Alaska,103066,1052.1255254
WEST,Pacific,2,AK,Alaska,116392,676.26500375
WEST,Pacific,2,AK,Alaska,117119,808.54015335
WEST,Pacific,2,AK,Alaska,108098,852.75715613
WEST,Pacific,2,AK,Alaska,108664,756.9913202
WEST,Pacific,2,AK,Alaska,104782,776.02170426
WEST,Pacific,2,AK,Alaska,108126,568.06958063
WEST,Pacific,2,AK,Alaska,111899,572.373388
WEST,Pacific,2,AK,Alaska,114584,862.7570041
WEST,Pacific,2,AK,Alaska,106852,958.20469636
WEST,Pacific,2,AK,Alaska,104908,721.28769359
WEST,Pacific,2,AK,Alaska,117224,1113.1721574
WEST,Pacific,2,AK,Alaska,109722,660.42108167
WEST,Pacific,2,AK,Alaska,114731,1108.3024282
WEST,Pacific,2,AK,Alaska,106350,860.85925918
WEST,Pacific,2,AK,Alaska,116788,683.70462057
WEST,Pacific,2,AK,Alaska,110909,923.36431953
WEST,Pacific,2,AK,Alaska,114925,697.61966857
WEST,Pacific,2,AK,Alaska,110944,678.11295537
WEST,Pacific,2,AK,Alaska,112698,665.14583849
WEST,Pacific,2,AK,Alaska,115196,645.96456074
WEST,Pacific,2,AK,Alaska,117365,548.03689347
WEST,Pacific,2,AK,Alaska,106473,903.29123261
WEST,Pacific,2,AK,Alaska,117546,625.15196592
WEST,Pacific,2,AK,Alaska,114113,705.21081909
WEST,Pacific,2,AK,Alaska,112487,525.9518512
WEST,Pacific,2,AK,Alaska,110199,985.18223433
WEST,Pacific,2,AK,Alaska,113832,783.22901531
WEST,Pacific,2,AK,Alaska,113200,844.99698434
WEST,Pacific,2,AK,Alaska,106495,728.0006903
WEST,Pacific,2,AK,Alaska,114206,923.16578988
WEST,Pacific,2,AK,Alaska,116677,660.42108167
WEST,Pacific,2,AK,Alaska,111649,458.62135539
WEST,Pacific,2,AK,Alaska,117226,770.76920537
WEST,Pacific,2,AK,Alaska,105967,715.72552965
WEST,Pacific,2,AK,Alaska,115440,789.52102677
WEST,Pacific,2,AK,Alaska,112961,681.58668605
WEST,Pacific,2,AK,Alaska,113731,685.27400595
WEST,Pacific,2,AK,Alaska,106255,660.42108167
WEST,Pacific,2,AK,Alaska,116935,707.28113977
WEST,Pacific,2,AK,Alaska,116230,513.09341602
WEST,Pacific,2,AK,Alaska,118328,704.28955987
