"HDD65","CDD65","HDD30YR_PUB","CDD30YR_PUB","DOEID","NWEIGHT"
5560,1025,6073,686,114026,7202.5827004
5502,1025,5309,902,110694,11884.966274
4348,1281,4469,1402,110131,5446.5542821
4358,1281,4024,1440,114726,6784.5471231
4718,1281,5085,1365,108625,4422.1705408
3648,1281,3802,1397,116443,6649.3228756
4711,1281,4855,1300,109873,6469.3443091
3806,1537,3504,2107,111279,6271.2261156
2827,1537,3631,1341,102130,7465.4575872
3592,1537,4368,1279,113059,2478.9411223
3808,1537,4915,882,112966,5368.4718874
3806,1537,3349,2204,107867,6023.1354748
3805,1537,4772,1161,102624,6537.2380548
4351,1537,4572,1633,103347,9647.5818837
2799,1537,3454,1350,101570,7027.65168
3809,1537,4777,924,108948,8768.5246471
3806,1537,4785,1157,108215,5697.7224722
3805,1537,3452,2140,105387,8500.9804972
3409,1537,3788,1548,112910,4574.8769496
3804,1537,4751,1168,109299,3491.5195141
3805,1537,3388,2180,108149,5725.2688434
3803,1537,4716,1179,108028,6262.1542902
3801,1537,4857,1135,110111,9142.7439782
3809,1537,4733,1130,104106,4836.6529465
3809,1537,4729,938,100070,5454.7785637
3804,1537,4847,1138,106673,8782.5569036
3804,1537,3423,2158,111900,9481.2975374
3803,1537,3940,1704,101672,5506.5049808
3019,1793,3043,1911,112607,4299.386307
1249,1793,1761,1860,102223,15144.088803
3835,1793,4109,1425,101474,8795.4622547
3022,1793,3110,2165,107450,6053.5364957
2663,1793,3118,1809,111233,7561.2743033
1249,1793,1399,1247,117980,10325.807506
2072,2305,2757,1399,105269,8421.2350095
2195,2305,2321,1818,117537,11645.559312
1848,2561,2206,2484,113454,9642.686801
2096,2817,2018,2051,101979,5048.5740681
1871,2817,2282,2531,108701,13351.019209
4,3073,47,2743,114883,1275.1103951
4,3073,10,2492,106016,1434.4325728
714,3329,927,2854,115214,15283.974245
1124,3329,1542,2811,109946,17417.52419
1157,3585,1871,2776,110580,10499.091897
699,3585,1040,3123,103924,16244.178239
1625,3585,1670,2975,115237,4182.548179
764,3585,1172,3268,101544,6111.0647218
697,3585,1064,3075,114479,6794.6196499
419,3841,580,3373,108997,12124.155517
435,4097,541,3540,103785,17565.018786
1326,4097,1489,3269,118231,3919.8808765
1326,4097,1514,3216,100050,4845.0453941
1326,4097,1494,3059,101987,8885.4503136
1326,4097,1426,3266,106149,2316.0198641
1326,4097,1407,3309,116984,8147.3755516
1326,4097,1448,3220,103502,3999.0975728
1326,4097,1451,3212,108593,6233.7487469
100,4865,204,3808,113844,9260.7131112
100,4865,169,3898,103869,13072.85945
113,4865,189,4123,116418,11090.147801
1083,5121,1206,4424,107054,2929.523996
10525,2,9112,71,111764,1005.4852257
10611,2,10453,6,104350,1428.1304481
10508,2,9731,0,113731,685.27400595
10525,2,9538,4,115809,969.3977626
10532,2,9302,41,115212,882.86195514
10544,2,9475,14,100802,1008.3687316
10546,2,9453,17,105132,1094.8224647
10977,2,10589,0,112981,846.70558197
10491,2,9379,29,105344,810.23311283
10602,2,9869,41,107990,500.13896255
10055,2,9921,0,113383,726.06972518
10610,2,10134,1,116230,513.09341602
10983,2,10284,32,116440,850.45995704
10602,2,9997,22,102785,728.61979652
10503,2,9428,21,103317,523.16024365
10977,2,10305,29,116508,846.70558197
10484,2,9518,7,100556,713.14356331
10548,2,9492,11,109717,1066.4004391
10055,2,9856,7,104460,781.61557705
10478,2,9316,39,105481,697.61966857
10546,2,9239,51,104236,866.27775042
10973,2,10385,18,116392,676.26500375
10055,2,9932,0,111626,534.05857225
10500,2,9364,31,113656,582.61580125
10055,2,9850,8,107283,726.06972518
10541,2,9481,13,100728,839.83776095
7133,2,7292,3,109945,705.21081909
4295,258,4578,215,103213,7261.0273162
4310,258,4488,233,111739,12749.702735
6303,258,7027,99,104797,3589.0968703
4717,258,4186,435,101212,4839.5912896
6308,258,5651,476,107384,3295.6895548
8199,258,8543,209,102643,9951.8211563
7542,514,7755,335,116656,10058.33785
6517,514,7352,160,102025,5463.7164434
8224,514,9010,367,104056,5854.7986154
8259,514,9429,235,105077,6775.9924698
8232,514,8703,327,117550,6825.6430561
6249,770,7002,527,118016,13364.425405
6223,770,6966,459,117934,5229.2946075
7837,770,7995,571,100319,3897.2650453
6395,770,6983,505,104233,13763.063398
7836,770,8105,579,105987,5731.7239464
6075,770,6177,688,104301,8639.5647139
5013,770,5420,599,107166,3522.032111
6038,770,6757,419,115802,2128.7517097
5860,770,6582,526,112786,3110.4388088
6010,770,6484,576,115192,5767.1946906
2558,770,2310,910,115875,9791.8863376
6600,770,6104,860,105979,3240.9689382
6093,770,6605,561,103077,2778.5348147
5104,1026,5625,930,103698,6364.9043889
6662,1026,6534,991,109749,1499.0908319
5215,1026,5826,685,105547,9388.9278267
5187,1026,7073,350,115679,12429.388887
4990,1026,5835,717,107691,4834.1633387
5048,1026,5517,923,113718,4549.6743454
4776,1026,5564,766,116589,3343.4990379
5499,1026,6035,514,114072,8594.9694574
5498,1026,5810,1050,112962,16819.793501
6209,1026,6367,1063,116720,3619.2305381
5500,1026,5483,854,100207,11431.137002
1022,1026,1120,817,109634,17925.124783
5538,1026,5417,963,117042,5194.09748
4460,1282,5412,974,111846,6460.3061529
4178,1282,4969,1061,110669,3120.7257338
4356,1282,4310,1337,105604,8176.0235362
3764,1282,4346,1062,111674,7433.6567231
4803,1282,4889,1351,108962,5472.0095686
4800,1282,4970,1337,106702,7191.1277295
4132,1282,4625,1207,115699,5127.3632598
5109,1282,5078,1400,111371,6093.8885093
4289,1282,5185,877,104689,7103.9221743
4355,1282,4138,1399,107481,12872.025493
3807,1538,3432,2153,110043,6357.7239891
3807,1538,3586,2057,117806,5446.5685524
3806,1538,3391,2178,107826,8529.7604957
3806,1538,4977,863,102540,8134.934895
3362,1538,4057,1447,107313,4286.0497732
3805,1538,4812,1149,113567,3791.1714664
3078,1538,3506,1522,118486,4487.6922207
3806,1538,3547,2081,117669,8631.4129677
3806,1538,3642,2022,115337,5368.4718874
3816,1538,4165,1480,103209,4278.6876461
3579,1538,4479,1173,105095,2030.5765728
4346,1538,4599,1623,113010,13370.152944
3808,1538,4921,880,107176,9243.2958617
3576,1538,4499,1166,100145,1696.3897684
2442,1794,2733,1905,108148,12136.783756
3179,2050,3842,1790,102368,5404.5889929
2162,2050,3273,1678,106857,8088.0999903
1874,2562,2186,2320,109660,13124.815481
2111,2562,2454,1924,100980,14773.538117
1270,2818,1551,2528,113538,9898.808949
971,3074,1524,2631,102738,7377.4268072
1555,3074,2054,2578,112848,6067.6207732
887,3586,1350,3078,115769,7639.9200066
271,4354,404,3576,101888,8440.9367305
1211,4610,1316,3793,101679,6059.0548891
1194,4610,1182,3992,101935,3718.2128874
102,4866,232,3854,113558,12107.117389
968,5122,1500,3501,118476,4882.1754132
10928,3,10604,0,103169,821.04281525
11179,3,12038,0,103278,1058.3728666
12164,3,12126,51,100703,1389.769267
14019,3,14101,26,108624,752.65152008
10647,3,10196,0,118128,520.55272021
12164,3,12102,54,116145,1035.0141008
4286,259,4398,178,106480,6832.6426035
4742,259,4854,258,100174,9739.4824499
4301,259,4348,195,109572,7131.3997721
4301,259,4625,200,118435,5776.1863749
4326,259,4680,144,112555,5893.8984714
9422,515,9038,472,114994,856.68877866
7631,515,7865,434,108386,991.80178178
9290,515,9252,507,102394,846.50939864
8090,515,8125,426,113923,5964.595911
8561,515,7950,608,111408,3005.3592577
7319,515,7648,404,113927,7624.1683115
7058,771,6701,919,102110,6083.0128864
5871,771,5695,782,114780,12721.545656
5153,771,5341,456,118042,1479.7779588
5928,771,6465,392,118273,2610.1033444
6099,771,6821,448,114095,2682.2478426
5675,771,5349,974,117854,16591.954105
5594,771,5857,677,101657,7635.3334252
6340,771,6917,570,100432,8661.0661015
6151,771,6731,466,115880,4292.4750586
6208,771,6722,566,114394,13370.917582
6072,771,6853,538,105119,4252.9239012
5876,771,6090,865,105010,7574.2459182
7362,771,6943,919,115865,4857.7746279
5031,771,5113,833,116686,3764.9028653
5891,771,6236,830,108876,6330.3502552
6253,771,6897,605,100627,7833.2119114
6085,771,6827,544,104153,7975.0445142
2163,771,2009,724,118138,16277.419073
6417,1027,7019,825,100593,3456.6121685
5815,1027,6685,665,104982,6194.0626358
4886,1027,5862,684,112618,7684.2799223
4704,1027,5499,767,112209,7187.6289376
5331,1027,5227,1135,116221,8200.899123
5857,1027,6808,637,108574,6513.9486491
4900,1027,4911,1190,114420,7831.0268959
4930,1027,5383,888,106763,6999.879135
4320,1027,4648,967,115620,5146.9450223
7108,1027,7701,692,105273,1652.3415004
4975,1027,5812,757,117238,5850.3969443
5072,1027,6077,672,109839,3077.5212912
4174,1283,5155,1004,102511,2573.2992906
5341,1283,6063,938,108058,4055.7614387
4069,1283,4204,1391,116839,6179.6785284
4424,1283,5625,894,108647,11402.808332
4413,1283,4961,1178,116450,10726.305889
4412,1283,4987,1170,102175,10602.178337
4814,1283,5217,1255,111031,6138.780407
4145,1283,5088,1105,102741,4391.3844002
2351,1283,2627,236,114336,9014.3719559
4172,1283,4951,1066,100442,3914.0403243
947,1283,1195,933,102828,9176.1985023
4125,1283,4728,1174,117723,5233.7668017
3810,1283,4277,1300,105394,7979.6939657
3552,1539,5480,364,110998,13631.218393
