"TYPETHERM","HEATCNTL","TEMPHOME","TEMPGONE","TEMPNITE","COOLCNTL","TEMPHOMEAC","TEMPGONEAC","TEMPNITEAC","ZHEATCNTL","ZTEMPGONE","ZTEMPGONEAC","ZTEMPHOME","ZTEMPHOMEAC","ZTEMPNITE","ZTEMPNITEAC","ZTYPETHERM","DOEID","NWEIGHT"
2,1,68,50,68,1,70,80,70,0,0,0,0,0,0,0,0,108552,11978.50112
1,2,65,50,70,2,70,70,70,0,0,1,0,1,0,1,0,109109,8571.4019609
0,2,67,50,60,4,70,70,60,0,0,0,0,0,0,0,0,101784,5550.9840612
1,2,71,50,71,2,71,71,71,0,0,0,0,0,0,0,0,102925,3528.0733305
1,2,70,50,70,4,71,73,70,0,0,0,0,0,0,0,0,111688,6347.8287513
1,1,67,50,50,2,72,69,55,0,0,0,0,0,0,0,0,103152,5285.4189385
1,2,72,50,70,2,72,72,72,0,0,1,0,1,0,1,0,113047,12194.1285
3,2,68,50,66,2,72,85,72,0,0,0,0,0,0,0,0,106253,7675.990927
0,1,68,50,78,2,72,72,70,0,0,0,0,0,0,0,0,113892,3973.82432
2,4,68,50,68,4,72,80,72,0,0,0,0,0,0,0,0,101572,5804.0086361
0,2,60,50,60,2,72,76,72,0,0,0,0,0,0,0,0,111822,9722.4532622
0,4,65,50,68,4,72,80,72,0,0,0,0,0,0,0,0,106973,4953.638174
0,2,76,50,76,1,72,90,80,0,0,0,0,0,0,0,0,114500,4723.9872599
1,4,65,50,60,1,72,80,72,0,0,0,0,0,0,0,0,107599,6151.8747737
2,2,65,50,60,2,72,77,70,0,0,0,0,0,0,0,0,109264,5419.7267422
0,2,67,50,50,2,72,80,68,0,0,0,0,0,0,0,0,107274,8124.9417442
1,2,60,50,60,2,72,72,60,0,0,1,0,0,1,0,0,116565,9032.1912086
0,4,68,50,68,2,72,72,68,0,0,0,0,0,0,0,0,117329,6558.0731696
0,1,60,50,77,1,72,73,73,0,1,1,1,0,1,1,0,113020,5106.645391
3,1,65,50,65,1,72,80,72,0,0,0,0,0,0,0,1,116985,9905.4209992
1,1,50,50,68,2,72,72,72,1,1,1,1,1,1,1,0,107897,11237.875938
0,4,72,50,70,4,72,80,65,0,0,0,0,0,0,0,0,116343,12435.491208
1,1,70,50,70,1,72,72,72,0,0,0,0,0,0,0,0,100120,6565.2991852
0,5,70,50,60,4,72,90,72,0,0,0,0,0,0,0,0,101545,13421.902162
0,1,70,50,70,1,73,73,74,0,1,1,1,1,1,1,0,106844,7278.381575
1,2,73,50,63,1,73,60,50,0,0,0,0,0,1,0,0,116818,7285.7590366
1,2,69,50,69,2,73,73,60,0,0,0,0,0,0,0,0,104802,8501.2053856
2,3,68,50,65,4,73,75,73,0,0,0,0,0,0,0,0,107529,12352.83709
0,1,50,50,63,1,73,73,73,0,0,0,0,0,0,0,0,115787,8385.8157715
1,1,74,50,70,2,74,65,65,0,1,1,0,0,1,1,0,112670,2098.4750326
2,1,64,50,64,1,74,80,74,0,0,0,0,0,0,0,0,115688,6054.2456155
0,4,68,50,68,4,74,77,74,0,0,0,0,0,0,0,0,106317,4640.4128034
3,3,68,50,68,3,74,77,74,0,0,0,0,0,0,0,0,115553,5895.2230193
0,5,69,50,50,4,74,74,74,1,1,1,1,1,1,1,1,115188,2393.5185744
3,3,65,50,50,3,74,80,70,0,0,0,0,0,0,0,0,115092,5322.8586915
3,3,66,50,63,3,74,80,74,0,0,0,0,0,0,0,0,108570,3619.6974429
1,1,50,50,50,4,74,80,74,0,0,1,0,1,0,1,0,108144,1163.3266788
1,1,70,50,65,2,74,80,72,1,1,0,1,0,1,0,0,110315,12680.146037
1,1,70,50,50,1,75,75,75,0,0,0,0,0,0,0,0,109091,8134.7655563
0,4,55,50,50,4,75,75,65,0,0,0,0,0,0,0,0,114626,4539.9034601
0,4,75,50,70,4,75,80,80,0,0,0,0,0,0,0,0,105945,16637.497985
1,1,70,50,70,1,75,80,75,0,0,0,0,0,0,0,0,105914,11001.368955
1,2,65,50,65,2,75,85,77,0,0,0,0,0,0,0,0,110402,7994.404649
0,4,60,50,50,4,75,80,75,0,0,0,0,0,0,0,0,109228,6240.7466816
0,2,50,50,70,1,75,70,70,1,1,1,1,1,1,1,0,105032,11511.729245
1,2,70,50,55,5,75,72,72,0,0,1,0,1,0,1,0,101454,6016.2873505
3,3,65,50,55,3,75,80,73,0,0,0,0,0,0,0,0,110313,12075.444206
2,4,69,50,50,4,75,50,75,0,0,0,0,0,0,0,0,111384,6745.3304578
1,2,65,50,60,5,75,80,70,0,0,0,0,0,0,0,0,106332,10350.595607
1,1,72,50,72,1,75,69,75,0,1,1,0,0,0,0,0,105818,6648.4112461
0,4,70,50,60,4,75,80,75,0,0,0,0,0,0,0,0,112017,3589.2915534
1,1,62,50,62,1,75,75,73,0,0,0,0,0,0,0,0,105594,4162.5996109
2,4,66,50,55,4,75,90,80,0,0,0,0,0,0,0,0,117825,4361.0268698
0,4,70,50,70,4,75,90,75,0,0,0,0,0,0,0,0,103828,7910.0617909
2,1,60,50,55,1,75,80,75,0,0,0,0,0,0,0,1,102245,13251.767519
0,5,70,50,50,5,75,90,70,0,0,0,0,0,0,0,0,105113,9894.5247684
2,4,62,50,65,4,75,75,75,0,0,0,0,0,0,0,0,101346,13785.376491
1,2,68,50,68,1,75,70,70,1,1,1,1,1,1,1,1,114543,10871.17518
2,1,70,50,70,1,75,75,75,0,0,0,0,0,0,0,0,105380,7912.3086293
1,2,62,50,50,2,75,85,75,0,0,0,0,0,0,0,0,103412,4918.7238783
