NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Natural_Gas,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
3,6,0,683,6,17791.53,0,0,1,0,1,0,0,0,1,0
6,5,0,1332,5,5998.7,0,0,1,0,0,1,0,0,0,0
1,1,0,1363,1,8250.17,1,0,0,0,0,1,0,0,0,0
3,3,0,1686,3,7474.25,1,0,0,0,0,1,0,0,0,0
3,-2,0,1745,-2,4342.75,0,1,0,0,0,1,0,0,0,1
3,1,0,1362,1,10814.75,1,0,0,0,0,1,0,0,1,0
3,4,1,1453,4,10633.15,1,0,0,0,0,1,0,0,0,0
2,3,0,2145,3,15874.88,1,0,0,0,0,1,0,0,0,0
6,10,0,1764,5,8588.0,0,0,1,0,0,1,0,0,0,1
4,6,1,168,5,4717.72,1,0,0,0,0,1,0,0,0,0
1,1,1,1246,1,6882.74,1,0,0,0,0,1,0,0,0,1
3,-2,1,596,-2,5894.24,0,1,0,0,0,0,0,0,0,0
6,4,0,1798,4,7312.3,0,0,1,0,0,0,0,0,0,0
1,-2,0,1497,-2,3443.1,0,1,0,0,1,0,0,0,0,0
3,-2,0,2224,6,6458.75,0,1,0,0,0,1,0,0,0,0
3,1,0,1584,1,7831.37,0,0,1,0,0,1,0,0,0,0
2,7,0,1687,7,10874.3,0,0,1,0,0,1,0,0,0,0
1,6,0,2193,5,3404.73,1,0,0,0,0,1,0,0,0,0
2,10,0,509,10,2595.03,1,0,0,0,0,0,0,0,0,0
2,2,0,621,2,10247.56,0,0,1,0,0,1,0,0,0,0
5,3,0,1558,3,17173.78,1,0,0,0,0,1,0,0,0,0
4,1,0,648,1,6214.57,0,0,1,0,0,1,0,0,0,1
3,7,0,1860,7,6936.96,0,0,1,0,1,0,0,0,0,1
3,6,1,2166,6,10956.71,1,0,0,0,0,1,0,0,0,0
2,1,0,2111,1,13958.13,1,0,0,0,0,1,0,0,0,0
1,2,0,1079,2,4150.23,1,0,0,0,0,1,0,0,0,0
1,-2,0,745,-2,3478.24,0,1,0,0,1,0,0,0,0,0
4,3,0,1225,3,7287.89,0,0,1,0,0,1,0,0,0,1
2,5,0,625,5,4654.93,1,0,0,0,0,1,0,0,0,0
4,-2,0,1721,3,3491.94,0,1,0,0,0,0,0,0,0,0
4,3,0,1383,3,6915.5,0,0,1,0,0,1,0,0,0,1
3,3,0,1226,4,4222.48,1,0,0,0,0,1,0,0,0,1
3,4,1,1233,4,9719.93,1,0,0,0,0,1,0,0,0,0
2,4,0,1342,4,6813.73,0,0,1,0,0,1,0,0,0,0
2,2,0,1345,-2,4323.38,0,0,1,0,0,1,0,0,0,0
1,2,1,4810,3,4841.51,1,0,0,0,1,0,0,0,0,0
3,3,0,1855,2,7377.88,1,0,0,0,0,0,1,0,0,0
1,3,0,1142,3,3931.61,1,0,0,0,0,1,0,0,0,0
1,0,1,2094,1,3963.32,1,0,0,0,0,1,0,0,0,0
2,1,0,1928,1,5147.37,0,0,1,0,0,1,0,0,0,0
4,2,0,1538,2,5304.11,0,0,1,0,0,1,0,0,0,1
1,1,0,1018,1,2099.52,1,0,0,0,0,1,0,0,0,0
3,4,0,1492,4,18153.0,0,0,1,0,0,1,0,0,1,0
2,2,0,1861,2,6218.24,0,0,1,0,0,1,0,0,0,0
4,2,0,1225,2,12416.45,1,0,0,0,0,1,0,0,0,0
4,3,0,820,3,5240.5,0,0,1,0,0,1,0,0,1,0
5,20,0,1807,22,6658.58,0,0,1,0,0,1,0,0,0,1
2,0,0,1247,0,3481.37,0,0,1,0,0,1,0,0,0,0
1,-2,0,1331,2,6084.89,0,1,0,0,0,1,0,0,1,0
2,3,0,1415,2,2712.22,0,0,1,0,0,1,0,0,0,0
4,5,0,546,5,9534.04,1,0,0,0,0,1,0,0,0,0
4,2,0,4453,2,8803.71,1,0,0,0,0,0,0,0,0,1
1,-2,0,4421,-2,3005.07,0,1,0,0,0,1,0,0,0,0
2,1,0,1251,1,5390.06,0,0,1,0,0,1,0,0,0,1
4,7,0,795,10,9389.55,0,0,1,0,0,1,0,0,0,1
5,4,0,1745,4,7484.58,0,0,1,0,0,1,0,0,0,0
2,1,0,1353,1,11012.41,0,0,1,0,0,1,0,0,1,0
3,10,0,1598,10,4047.89,1,0,0,0,0,1,0,0,0,1
1,2,0,1134,2,4977.45,0,0,1,0,0,1,0,0,0,0
1,1,1,1377,1,5580.42,1,0,0,0,1,0,0,0,0,0
2,3,0,1785,3,11930.86,0,0,1,0,0,1,0,0,0,1
3,3,1,1857,3,12448.49,0,0,1,0,0,1,0,0,0,0
1,1,0,1143,1,2156.53,1,0,0,0,0,0,0,0,0,0
1,-2,0,602,-2,637.89,0,1,0,0,0,1,0,0,0,0
2,-2,0,866,1,2027.4,0,1,0,0,0,1,0,0,0,0
4,5,0,1398,5,7217.66,0,0,1,0,1,0,0,0,0,1
2,5,0,1294,5,9085.45,0,0,1,0,0,1,0,0,0,1
4,-2,1,789,-2,6350.5,0,1,0,0,1,0,0,0,0,1
2,5,0,4488,5,21326.57,0,0,1,0,1,0,0,0,1,0
2,2,0,1331,2,11009.53,0,0,1,0,0,0,0,0,0,0
3,3,0,641,3,2158.03,0,0,1,0,0,1,0,0,1,0
1,1,0,899,1,2832.79,1,0,0,0,0,1,0,0,0,0
5,3,0,1666,3,3542.43,1,0,0,0,0,0,0,0,0,0
2,12,0,1817,12,12077.64,0,0,1,0,0,1,0,0,0,0
3,7,0,2163,7,7174.54,1,0,0,0,0,1,0,0,0,0
6,5,0,1702,5,8890.12,1,0,0,0,0,1,0,0,0,1
4,1,0,1683,1,474.62,0,0,1,0,0,1,0,0,0,0
1,1,0,829,1,4164.49,0,0,1,0,1,0,0,0,0,0
4,-2,1,487,-2,6033.61,0,1,0,0,1,0,0,0,0,0
1,1,0,690,1,6864.86,0,0,1,0,1,0,0,0,0,0
3,5,0,1789,5,12544.9,0,0,1,0,0,1,0,0,1,0
5,7,0,1289,6,17193.75,0,0,1,0,0,1,0,0,0,1
4,4,0,1191,4,1934.24,0,0,1,0,0,1,0,0,0,1
1,1,0,1985,1,4639.19,1,0,0,0,0,1,0,0,0,1
4,-2,1,818,-2,1920.75,0,1,0,0,0,0,0,0,0,0
4,-2,1,1506,-2,6587.1,0,1,0,0,1,0,0,0,0,0
1,1,1,700,1,7638.59,1,0,0,0,1,0,0,0,0,0
